@RELATION snore_sound/model/svmSM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {snore,not_snore}

@DATA
0.098487,0.005177,3.036800,0.205550,0.234937,0.843173,0.006203,0.123495,-29.213097,2.137405,-0.229395,0.551998,0.325256,0.158663,-0.069814,-0.078853,-0.181943,0.203002,0.225294,-0.198249,0.141406,0.014046,0.001753,0.062435,0.008302,0.022630,0.013288,0.071250,0.002589,0.006191,0.011849,0.045964,0.004071,0.031770,0.027062,0.004410,0.244058,0.026874,0.023019,0.302695,0.002900,0.046747,2.028428,0.392731,0.460388,0.299035,0.217481,0.196811,0.222277,0.202444,0.191257,0.155252,0.181765,0.157123,0.147911,0.013238,0.001297,0.043099,0.007543,0.017178,0.012282,0.050578,0.002300,0.004504,0.007841,0.033277,0.003725,0.013630,snore
0.094355,0.009783,3.057565,0.213851,0.247362,0.726701,0.006867,0.115320,-28.285635,2.251728,-0.027018,0.394123,0.405859,0.314660,-0.240676,-0.181252,-0.105109,0.192207,0.203303,-0.153551,0.139454,0.017921,0.001492,0.065293,0.007175,0.023229,0.014825,0.069242,0.002664,0.007228,0.013339,0.044846,0.003988,0.033279,0.032200,0.008858,0.227319,0.031108,0.019772,0.301489,0.003696,0.063923,1.938354,0.411968,0.373926,0.256305,0.204502,0.216021,0.212014,0.189881,0.170401,0.142979,0.174344,0.153113,0.137968,0.016622,0.001256,0.046453,0.005510,0.020552,0.017455,0.052550,0.002938,0.006262,0.009104,0.037348,0.003550,0.012931,snore
0.093098,0.014737,3.059198,0.202402,0.233406,0.772677,0.006873,0.117529,-28.154561,2.218849,-0.153091,0.453731,0.308650,0.204339,-0.157007,-0.153271,-0.116231,0.183143,0.203821,-0.187182,0.151439,0.017049,0.001797,0.057384,0.007891,0.020448,0.016141,0.066535,0.002505,0.008900,0.013085,0.048144,0.003894,0.030444,0.026300,0.010859,0.216348,0.024656,0.017575,0.255577,0.003420,0.048503,1.943440,0.301183,0.321439,0.257806,0.195013,0.196244,0.225170,0.217184,0.175130,0.142978,0.167578,0.163943,0.152013,0.015244,0.001302,0.039871,0.006672,0.015127,0.016677,0.044270,0.002087,0.008612,0.009387,0.032217,0.003209,0.011180,snore
0.101026,0.006416,3.042913,0.204542,0.230886,0.869389,0.006320,0.127007,-28.892441,2.099275,-0.234748,0.585426,0.343389,0.153419,-0.091044,-0.117801,-0.189592,0.211044,0.251289,-0.216681,0.177331,0.020534,0.001610,0.059933,0.007888,0.023343,0.015442,0.063800,0.002612,0.006425,0.011855,0.037566,0.004576,0.029346,0.024833,0.004615,0.219817,0.023473,0.021137,0.271664,0.002665,0.041176,1.934709,0.366637,0.430752,0.293283,0.191765,0.199400,0.221831,0.197781,0.175177,0.152265,0.168285,0.157823,0.142722,0.014425,0.001075,0.042581,0.006443,0.017820,0.014829,0.043959,0.002495,0.004718,0.008293,0.029195,0.004198,0.012369,snore
0.095645,0.006167,3.045557,0.205224,0.236321,0.806344,0.006552,0.117315,-28.863084,2.127018,-0.222600,0.541215,0.330625,0.190094,-0.058258,-0.072351,-0.147100,0.246474,0.231264,-0.184885,0.162236,0.014035,0.001853,0.066415,0.006502,0.020816,0.011678,0.076907,0.002800,0.006603,0.011522,0.046257,0.004435,0.034044,0.026065,0.005788,0.241048,0.026716,0.021790,0.295459,0.003104,0.045648,2.134341,0.391824,0.401515,0.304054,0.207704,0.186264,0.211387,0.199068,0.194752,0.158978,0.165954,0.168534,0.144864,0.013253,0.001516,0.043941,0.005327,0.015758,0.010277,0.059769,0.002696,0.005687,0.008489,0.037696,0.003948,0.014441,snore
0.098515,0.008779,3.060400,0.212587,0.245157,0.774154,0.006580,0.117985,-28.883933,2.208161,-0.079889,0.435799,0.358332,0.259303,-0.145593,-0.143278,-0.104396,0.206864,0.187814,-0.135031,0.144394,0.016274,0.002044,0.069898,0.007784,0.022911,0.013789,0.070043,0.002605,0.006411,0.012932,0.044825,0.004177,0.032066,0.027778,0.008602,0.221169,0.027794,0.018569,0.308381,0.003390,0.053982,1.957046,0.396867,0.369715,0.265753,0.192869,0.186590,0.196651,0.202828,0.173667,0.136895,0.153734,0.151426,0.143680,0.014852,0.001985,0.044831,0.005940,0.019115,0.013300,0.043917,0.002271,0.005346,0.007918,0.032067,0.003433,0.011893,snore
0.091512,0.007264,3.006131,0.192614,0.221010,0.760495,0.014334,0.115817,-29.389464,2.075135,-0.157712,0.508268,0.287159,0.159168,-0.005791,-0.142025,-0.220825,0.198113,0.195780,-0.153881,0.142773,0.015562,0.001339,0.058242,0.007853,0.021124,0.014738,0.073368,0.002620,0.008179,0.011455,0.044406,0.002921,0.032927,0.025714,0.007330,0.319692,0.033422,0.029046,0.272321,0.026842,0.042107,3.027464,0.524740,0.424800,0.371306,0.214723,0.204580,0.271070,0.213984,0.195024,0.158347,0.156161,0.150743,0.166767,0.014312,0.001049,0.046136,0.010195,0.016964,0.016761,0.052464,0.002129,0.009331,0.008886,0.034748,0.002248,0.011984,snore
0.065624,0.012944,2.892551,0.213963,0.270827,0.348888,0.014288,0.046866,-30.548031,2.366808,0.436952,0.417970,0.270354,0.482087,0.139500,0.162326,-0.040621,-0.061162,0.070460,-0.057175,0.095955,0.011817,0.000619,0.070492,0.004702,0.016413,0.002904,0.148115,0.000649,0.001632,0.011348,0.058821,0.000741,0.053670,0.035356,0.013232,0.271132,0.038979,0.018043,0.248067,0.009606,0.047460,2.950326,0.633778,0.284103,0.263068,0.218236,0.346382,0.197061,0.179169,0.191802,0.252272,0.205210,0.172354,0.170409,0.015727,0.000681,0.054578,0.006165,0.017219,0.003400,0.096922,0.000906,0.002175,0.013753,0.043692,0.001032,0.020511,snore
0.073720,0.011066,2.893545,0.217197,0.269453,0.418417,0.012116,0.057639,-30.615218,2.330723,0.338075,0.423993,0.265157,0.567579,0.118204,0.134468,-0.060166,-0.095719,0.105449,-0.041691,0.085703,0.009953,0.000721,0.081550,0.005300,0.016975,0.004053,0.132953,0.001194,0.002455,0.015741,0.050957,0.000922,0.051830,0.034294,0.010027,0.267832,0.037441,0.020480,0.269616,0.009056,0.049778,3.056060,0.592592,0.372084,0.274071,0.238418,0.352010,0.222437,0.177524,0.184273,0.252956,0.227356,0.225487,0.188054,0.012716,0.000799,0.060523,0.005968,0.019532,0.004923,0.092859,0.002171,0.002753,0.020031,0.040734,0.001131,0.019938,snore
0.103262,0.001129,2.745571,0.256634,0.271843,0.753171,0.015654,0.142090,-35.421204,1.523454,0.342368,0.262166,0.473180,-0.075316,-0.176431,0.215210,-0.214988,0.045713,0.066454,0.113745,-0.012018,0.006506,0.001669,0.066693,0.007911,0.011062,0.006523,0.097707,0.000972,0.002627,0.004899,0.062208,0.001054,0.041025,0.063907,0.001613,0.426115,0.051214,0.020630,0.515772,0.015606,0.161417,3.342969,0.565999,0.517177,0.291810,0.291673,0.271764,0.365760,0.245385,0.288012,0.170737,0.171949,0.157802,0.160883,0.007024,0.002693,0.053575,0.010206,0.013130,0.008491,0.072735,0.001514,0.003356,0.005542,0.042748,0.001336,0.017344,snore
